[00:01.440 --> 00:02.000]  Hi.
[33:24.910 --> 33:27.750]  actually notice that it has changed the MAC address.
[33:28.850 --> 33:32.570]  If you hit send and then switch it back to
[33:32.570 --> 33:36.810]  back-knit sub, it still keeps that same incorrect
[33:36.810 --> 33:45.080]  MAC address. Aha. Okay, sorry.
[33:45.180 --> 33:49.200]  So I'm here. Where do you want me to look at this? Okay, so in the
[33:49.200 --> 33:53.750]  settings. Yeah.
[33:56.570 --> 33:59.110]  Whatever network you were looking at, connected
[33:59.110 --> 34:03.050]  to, etc. Click on advanced.
[34:06.310 --> 34:09.130]  Yep. What's its
[34:09.130 --> 34:09.850]  MAC address?
[34:12.570 --> 34:17.070]  MAC address for both is still zero. Okay, good. That's just what I want to make
[34:17.070 --> 34:20.930]  sure. So that sounds right. Okay. So that
[34:20.930 --> 34:24.070]  further cements the idea that there's something wrong with the ProCom.
[34:25.030 --> 34:28.430]  Unfortunately, I don't really know what, because I haven't really heard of a case
[34:28.430 --> 34:32.770]  quite like that, except for if the transmitters had both
[34:32.770 --> 34:35.290]  gotten fried at the same time type thing.
[34:37.790 --> 34:40.870]  I'd expect the fuses to also be...
[34:40.870 --> 34:44.710]  But anyways, doesn't really matter. Point is, I think the transmitters are not
[34:44.710 --> 34:46.190]  working or the fuses are bad.
[34:46.190 --> 34:50.450]  Uh-huh.
[34:51.610 --> 34:53.670]  And how should I go about looking at these fuses?
[34:54.350 --> 34:58.570]  It's just the bulbs on the outside, right? Yeah, you just pull them...
[34:58.570 --> 35:02.410]  Yeah, they're just the bulbs that are sticking out there. Yeah, you just pull them right out.
[35:03.630 --> 35:06.030]  Measure the... Oh, I can just pull them straight out?
[35:06.550 --> 35:08.110]  Yep, just pull them straight out.
[35:09.890 --> 35:11.170]  Good luck getting them back in though.
[35:11.170 --> 35:11.570]  Alright.
[35:14.850 --> 35:19.270]  Oh, boy. Don't tell me that. It's like a breadboard, right?
[35:19.430 --> 35:21.010]  There's only two holes.
[35:24.760 --> 35:27.580]  You're trying to align something with a breadboard.
[35:28.140 --> 35:31.920]  And the longer the
[35:32.860 --> 35:36.600]  component's wires, the harder it is to
[35:36.600 --> 35:39.640]  kind of push it in, right? Get it aligned.
[35:41.000 --> 35:42.780]  Because it can kind of bend a little bit.
[35:45.900 --> 35:48.280]  If it's right in front of you, you'll probably be fine.
[35:48.360 --> 35:51.800]  But the problem is if you're up on a ladder or something, it makes it a little bit trickier.
[35:54.320 --> 35:55.840]  Thankfully, this thing is just in a
[35:55.840 --> 35:56.600]  panel.
[36:00.000 --> 36:03.440]  Yes, you should read about 17 ohms.
[36:06.360 --> 36:07.160]  15 ohms?
[36:08.120 --> 36:11.160]  A little bit lower, but anyway, try the other one.
[36:14.180 --> 36:14.940]  Oh, oh, sorry.
[36:15.100 --> 36:19.060]  I thought you were telling me what it's supposed to be, not what it is.
[36:19.320 --> 36:21.620]  Right now it's
[36:25.780 --> 36:27.400]  16. 16 seems fine.
[36:33.330 --> 36:33.690]  16.
[36:36.690 --> 36:39.850]  You know, I'm starting to think there's nothing wrong with the fuses. I think the transmitter isn't working.
[36:39.850 --> 36:42.170]  That's what it sounds like to me.
[36:42.570 --> 36:47.850]  The very last thing you can try
[36:47.850 --> 36:52.070]  is doing a factory set of the controller, but I don't know how that would have any effect.
[36:53.970 --> 36:55.170]  If there were somehow
[36:55.810 --> 37:00.030]  an issue with the OS of it, you could try doing a firmware send.
[37:00.150 --> 37:04.030]  However, here's the part that kind of concerns me, which is if there was
[37:04.030 --> 37:08.070]  an issue such as that, I would RMA it
[37:08.070 --> 37:09.250]  anyway. See what I mean?
[37:11.130 --> 37:15.610]  If something happened to the controller where the basic functionality got corrupted
[37:15.610 --> 37:17.710]  or didn't work anymore, sort of a thing,
[37:19.490 --> 37:24.130]  I would think that it would happen again, so I would RMA it at that point.
[37:25.430 --> 37:27.570]  Do the swap with another controller.
[37:29.170 --> 37:32.110]  It doesn't matter really where you get it from, just try another controller.
[37:33.550 --> 37:35.630]  And if the issue persists,
[37:35.630 --> 37:38.690]  well, now you've got a real problem.
[37:41.690 --> 37:42.330]  Oh, boy.
[37:43.850 --> 37:45.270]  I already knew that.
[37:47.450 --> 37:50.710]  At the moment, it looks like the issue is all ProCom.
[37:55.600 --> 37:58.940]  Okay. Sorry, just trying to get these damn
[37:58.940 --> 38:00.300]  fuses back in, you know.
[38:06.480 --> 38:08.220]  Yeah, I thought you'd get a kick out of that.
[38:09.300 --> 38:12.220]  The only way it can get worse is if we made them polarity,
[38:13.680 --> 38:16.280]  you know, if we care about the polarity of it.
[38:16.500 --> 38:18.340]  Oh, don't even say that.
[38:19.680 --> 38:24.380]  It's okay if there's a fuse that doesn't care which way the burning electricity goes.
[38:30.140 --> 38:32.220]  Okay. Let's see.
[38:33.400 --> 38:39.220]  I got those back in. Back to reset.
[38:39.220 --> 38:43.320]  Do you think, just pull the controller, try swapping in
[38:43.320 --> 38:45.280]  with another one, see if that does it.
[38:45.760 --> 38:51.220]  Exactly. If it doesn't do it...
[38:54.880 --> 38:55.320]  Then
[38:55.320 --> 38:59.380]  I'm starting to get at a loss. Because then I'd start to
[38:59.380 --> 39:02.240]  wonder why did the export 2 work when it was connected to it?
[39:02.800 --> 39:06.900]  It should be using the ground of the smart net.
[39:06.900 --> 39:10.400]  That said, your laptop will also have a ground.
[39:13.860 --> 39:15.100]  So, maybe...
[39:53.320 --> 39:57.220]  Do you mind if I try something real quick?
[40:02.080 --> 40:03.440]  So, this direct connects
[40:03.440 --> 40:05.480]  with the export 2 to the ProCom, right?
[40:12.000 --> 40:13.240]  Does it...
[40:13.240 --> 40:16.480]  see both the sub A and the sub B?
[40:17.880 --> 40:21.100]  That I can't remember. I would assume we could see both, yeah?
[40:23.560 --> 40:24.220]  Yeah, okay.
[40:24.540 --> 40:28.320]  Because I can only see the A right now even though both are plugged in.
[40:31.340 --> 40:33.320]  Maybe it does make sense for it to
[40:33.320 --> 40:37.440]  only see one. But because it sees one, and
[40:37.440 --> 40:41.720]  the ProCom can't see either, I think that's still good enough to go off of right now.
[40:43.460 --> 40:46.160]  Oh, are you thinking to switch it so
[40:46.160 --> 40:49.860]  B is in A? Because you could try that. Yeah, like you want to switch B into
[40:49.860 --> 40:53.260]  A and then try and discover it. Go for it.
[40:53.680 --> 40:59.820]  Yeah, I've just done that.
[41:33.080 --> 41:35.300]  Can't see anything on a...
[41:35.960 --> 41:38.080]  Can't see anything on net B still.
[41:46.330 --> 41:49.110]  But now net B is connected to your...
[41:49.990 --> 41:53.190]  I would disconnect from toolkit reconnect. It will be
[41:53.190 --> 41:57.010]  very confused otherwise. Yeah. Yeah,
[41:57.010 --> 42:08.350]  I did that. Okay. I don't think
[42:08.350 --> 42:12.590]  you'd have to disconnect the export too, but you could try that as well.
[42:12.930 --> 42:14.530]  Disconnect, reconnect it. Alright.
[43:39.730 --> 43:44.320]  Alright. Yeah, I tried
[43:44.320 --> 43:46.460]  disconnecting from the space.
[43:48.300 --> 43:50.360]  I've seen some blinks over there, but
[43:54.700 --> 43:56.900]  try restarting toolkit again.
[43:58.940 --> 44:01.040]  So in short, network A
[44:01.040 --> 44:04.600]  you can see it just fine with the export two. Network B you can't see
[44:04.600 --> 44:06.900]  with the export two regardless of where it's connected.
[44:11.430 --> 44:15.230]  So far that seems to be the case here. I see
[44:15.230 --> 44:19.290]  blinking over there, but going back
[44:19.290 --> 44:21.250]  through toolkit after a full restart.
[44:26.090 --> 44:28.410]  I guess this brings me back to two issues.
[44:32.160 --> 44:36.120]  One of those problems where you don't actually know there's even an issue until
[44:36.120 --> 44:39.260]  you try to use the thing. In this case, try to add a controller.
[44:42.180 --> 44:42.680]  Yeah.
[44:44.660 --> 44:47.920]  Certainly seems that way. The building I'm in currently has
[44:49.280 --> 44:52.280]  apparently historically has issues with
[44:52.280 --> 44:55.520]  compatibility between newer devices getting added to old devices.
[44:56.220 --> 45:00.280]  But I'm not sure who resolved that.
[45:01.200 --> 45:03.600]  Sounds a little bit... what do you call it?
[45:07.120 --> 45:08.500]  I don't know how to
[45:08.500 --> 45:11.820]  explain other than a technician superstitious type thing.
[45:12.040 --> 45:14.720]  But I also absolutely believe them by the way.
[45:16.060 --> 45:20.300]  I don't know why, but this one building has all these problems when we add new things.
[45:20.300 --> 45:22.940]  It just...
[45:27.070 --> 45:31.290]  It sounds like there's issues that have been unaddressed for a long time and
[45:31.290 --> 45:33.090]  that may never get addressed.
[45:38.130 --> 45:39.750]  That's how it goes.
[45:49.050 --> 45:52.850]  Do you happen to have a DC power supply on you?
[45:53.150 --> 45:54.870]  A 24 volt DC power supply.
[45:56.990 --> 46:00.190]  Not 24. I have a signal generator up to 10.
[46:05.780 --> 46:08.260]  That might work. Can it just do
[46:08.260 --> 46:14.280]  solid DC? I think so.
[46:16.600 --> 46:17.880]  Might be worth a try.
[46:22.890 --> 46:24.690]  Alright. Putting that where do you think?
[46:26.090 --> 46:29.170]  Behind the ProCom. So instead of using 24 volt AC,
[46:29.670 --> 46:34.190]  use that. I would just make sure it doesn't have any
[46:34.690 --> 46:36.890]  ProCom, no inputs, outputs. Yeah, that should be fine.
[46:43.120 --> 46:44.400]  I used to have
[46:44.400 --> 46:48.300]  all of my controllers on a
[46:50.380 --> 46:52.240]  signal generator. It was a variable DC
[46:52.240 --> 46:55.040]  power supply and it was a cheap one at that.
[46:56.500 --> 47:00.300]  For testing signal problems and power
[47:00.300 --> 47:00.700]  problems.
[47:04.940 --> 47:06.620]  How does that work?
[47:07.400 --> 47:08.520]  Stuff still worked.
[47:09.400 --> 47:11.380]  Instead of a transformer, you just use a supply?
[47:13.320 --> 47:17.060]  Right now, all of my controllers are on a 24 volt DC power supply.
[47:17.140 --> 47:21.480]  The only control of ours that wouldn't work with that is a ProLite.
[47:21.840 --> 47:26.620]  That one requires an unbalanced or ungrounded
[47:29.480 --> 47:30.760]  24 volt AC.
[47:31.120 --> 47:33.160]  But all of the other controllers, yeah.
[47:33.160 --> 47:36.860]  They can be powered through 24 volt DC.
[47:39.420 --> 47:40.820]  As far as I'm aware, they're halfway
[47:40.820 --> 47:44.960]  rectified, so it honestly seems like they
[47:44.960 --> 47:48.980]  were designed to be 24 volt DC
[47:48.980 --> 47:49.620]  powered?
[47:54.120 --> 47:55.260]  Right, with halfway rectified...
[47:59.200 --> 48:01.000]  Sorry, with halfway rectified,
[48:01.000 --> 48:05.460]  you get half the voltage drop as you would with full wave rectified.
[48:10.420 --> 48:13.040]  One second, somebody's glaring at me.
[48:13.140 --> 48:14.200]  I don't think it's glaring.
[48:18.660 --> 48:21.000]  He's suspicious that the transmitter is inside the
[48:21.000 --> 48:23.560]  ProCom. We're kind of just trying stuff.
[48:24.900 --> 48:28.980]  He's not familiar with this issue. And interestingly
[48:28.980 --> 48:32.400]  the ProCom, by connecting to the export through that,
[48:32.660 --> 48:35.180]  I can see the second floor network.
[48:36.120 --> 48:38.860]  But the ProCom can't see it. Nobody has a CP port.
[48:44.930 --> 48:46.450]  I was going to ask
[48:46.450 --> 48:48.930]  the guy who recommended trying to talk to ProComs.
[48:50.210 --> 48:54.030]  There's not really anywhere in this building that would be as fair as that.
[48:55.750 --> 48:57.110]  I'm going to keep talking to him again.
[48:58.470 --> 48:59.350]  Alright, hello again.
[49:00.250 --> 49:04.030]  Or any other MSTP controller that you could swap with that's in your van or something?
[49:06.450 --> 49:09.590]  No, we don't have any. The only spare I have is like a
[49:09.590 --> 49:12.610]  flex there, but that's for another job. And that's not the
[49:14.010 --> 49:14.850]  MSTP anyways.
[49:15.850 --> 49:17.150]  How far away is your office?
[49:17.890 --> 49:22.110]  We don't seem to have any spares in here that I can pull and put in place.
[49:23.410 --> 49:25.210]  How far away is the office?
[49:29.180 --> 49:31.520]  Gosh, that'll be...
[49:31.520 --> 49:36.360]  Long enough I wouldn't get back in time for my work day to end.
[49:39.480 --> 49:40.480]  Good news is,
[49:41.480 --> 49:44.060]  with the other devices communicating on the network,
[49:44.440 --> 49:49.420]  they can still communicate even when the ProCom isn't. They'll talk to each other.
[49:50.080 --> 49:51.800]  So the site will continue to run.
[49:52.460 --> 49:55.440]  What I would probably suggest is finish up your programming then,
[49:56.340 --> 49:59.140]  using the export tool, if you're able to.
[49:59.340 --> 50:03.760]  Direct connect to one of those. And then if you have to come back another day,
[50:04.060 --> 50:06.960]  let's say you couldn't swap a controller or something else, whatever,
[50:07.660 --> 50:08.780]  couldn't get someone to bring one.
[50:10.780 --> 50:13.980]  Does anyone else have a spare in their van or did you all come in the same van?
[50:18.960 --> 50:19.840]  I've got me
[50:19.840 --> 50:24.060]  new hire and then project managers on site, also trying to figure out
[50:24.060 --> 50:27.900]  what the hell is going on. None of us really have controllers with us.
[50:27.980 --> 50:32.140]  There's one of our offices nearby, and my project manager
[50:32.140 --> 50:35.900]  is on the phone right now trying to see if he can get us a ProCom out here.
[50:35.920 --> 50:37.740]  And I'm not sure if that would be a today thing.
[50:39.700 --> 50:43.620]  So yeah, like I was saying, even if the ProCom thing doesn't work,
[50:43.660 --> 50:47.680]  I'd probably go about making sure that the flexhires are programmed, like address
[50:47.680 --> 50:52.260]  programs, and then the customer will still have
[50:52.260 --> 50:55.960]  their stuff working. They just won't have the ProCom doing the communication
[50:55.960 --> 50:56.960]  between the different networks.
[50:59.560 --> 51:03.800]  Yeah, thankfully once we figured out that we could talk to stuff through the
[51:03.800 --> 51:07.360]  ProZones with the ProCom disconnected, we were able to do that just fine.
[51:09.600 --> 51:11.960]  So all the new controllers are functioning
[51:11.960 --> 51:14.760]  about as well as I think they could, or they can.
[51:15.260 --> 51:16.780]  Okay, that's good.
[51:23.860 --> 51:24.820]  Yeah, so...
[51:24.820 --> 51:26.960]  Were you ever able to get any ProCom
[51:26.960 --> 51:30.740]  or ProZones to even appear, ProAirs, whatever, any other
[51:30.740 --> 51:34.620]  controllers to appear on the MSTP? Like if you were to connect one single controller
[51:34.620 --> 51:38.820]  to the ProCom, does it come up? Because at the moment it sounds like
[51:38.820 --> 51:42.060]  that's not going to work. But I am curious if that would.
[51:44.180 --> 51:46.060]  I'm not sure how...
[51:48.320 --> 51:50.300]  Yeah, I'm not sure if
[51:50.300 --> 51:52.440]  I could recreate it, but
[51:54.100 --> 51:58.180]  before I left yesterday, I had the ProCom talking to the
[51:58.180 --> 52:02.180]  two ProZones, and only the two ProZones. But
[52:02.180 --> 52:06.060]  just a moment ago when I tried that configuration, or what I believe that configuration
[52:06.060 --> 52:10.240]  was, it didn't do anything. Yeah, still follows along with
[52:10.240 --> 52:13.080]  what I'm thinking. It sounds like the transmitter is having a problem.
[52:15.340 --> 52:15.660]  Yeah.
[52:20.220 --> 52:22.380]  Do you know what the serial number of that ProCom is?
[52:25.340 --> 52:26.340]  Serial number of the
[52:26.340 --> 52:29.700]  ProCom. Yep, it will be on the back of it.
[52:33.580 --> 52:34.480]  Yeah, forgive me a minute.
[52:34.820 --> 52:37.400]  I stepped away from the mechanical room because it's loud as all hell.
[52:38.380 --> 52:41.260]  I guess when you
[52:42.640 --> 52:45.540]  guys swap it with something else, you can check
[52:45.540 --> 52:51.470]  the serial number then. Is this just like an email?
[52:51.530 --> 52:54.290]  You want this email to you? Sure, yeah.
[52:55.530 --> 52:59.330]  If it didn't send you an email, I'll make sure an email is sent to you.
[53:00.750 --> 53:06.620]  Okay. So in that case,
[53:06.620 --> 53:08.740]  I'll send you guys the serial number later.
[53:09.820 --> 53:12.740]  Okay, sounds good.
[53:17.280 --> 53:20.880]  Alright, well, anything else you would
[53:20.880 --> 53:25.080]  recommend before I start banging my head against the wall a little bit more?
[53:26.080 --> 53:28.820]  We pretty much covered everything. I mean, you know that I can talk
[53:28.820 --> 53:31.760]  to stuff, but the thing that I'm thinking of is that
[53:32.660 --> 53:36.860]  I've seen it before where I do like a
[53:36.860 --> 53:40.760]  voltage measurement on the MSCP to check how it's doing, right?
[53:41.120 --> 53:44.400]  And everything looks fine. Then I disconnect the controller
[53:44.400 --> 53:48.060]  from the MSCP and it reads basically no voltage.
[53:50.980 --> 53:53.020]  Talking with the
[53:53.740 --> 53:56.920]  like... and this is with no end of line enabled. So what should
[53:56.920 --> 54:00.800]  happen when no end of line is enabled is it should operate like a floating
[54:00.800 --> 54:04.940]  signal, right? It's just whatever signal there just kind of bouncing
[54:04.940 --> 54:09.060]  around, right? And the way that I think about it in that case is
[54:09.060 --> 54:12.620]  if something was 24... sorry,
[54:13.020 --> 54:17.060]  2.5 volts DC, which is approximately what you would read, and it was
[54:17.060 --> 54:20.900]  sitting there at 2.5 volts DC, and then you were to remove
[54:20.900 --> 54:25.120]  the MSCP, I would expect it to still read approximately
[54:25.120 --> 54:29.160]  2.5 MSCP right on the pins. But what I found
[54:29.160 --> 54:32.940]  is that...
[54:32.940 --> 54:37.020]  without anything else connected to the MSCP... so you connect
[54:37.020 --> 54:40.600]  the MSCP to it. You measure the
[54:40.600 --> 54:45.720]  DC voltage between ground on the controller and the A-
[54:45.720 --> 54:49.040]  ground and the B+. You should get approximately 2.5
[54:49.040 --> 54:52.820]  volts DC. Then disconnect the MSCP
[54:53.720 --> 54:57.020]  from... on both. Yeah, you should read about 2.5 volts
[54:57.020 --> 55:01.100]  DC on both of them. It doesn't matter
[55:01.100 --> 55:03.140]  if it's positive or negative. It's just your polarity, right?
[55:07.920 --> 55:10.720]  They should sum to approximately
[55:10.720 --> 55:12.820]  5 volts DC.
[55:17.580 --> 55:18.240]  Anyways...
[55:18.240 --> 55:22.240]  Either or.
[55:22.800 --> 55:25.400]  It will be slightly different with it on versus with it off.
[55:26.260 --> 55:29.860]  But for doing this testing, try it off first.
[55:29.860 --> 55:33.920]  And we'll find out why. I want to try that first.
[55:35.360 --> 55:36.520]  In a little bit here.
[55:48.740 --> 55:52.620]  And this is the MSCP port on the controller?
[55:55.980 --> 55:56.900]  On the profile?
[55:57.380 --> 55:59.700]  You can do it right on the screw terminals.
[56:00.240 --> 56:04.120]  So you don't have to actually pull out anything or whatever. Just measure it on those.
[56:04.680 --> 56:07.560]  If they've got good contact, the screws will have the same voltage.
[56:13.800 --> 56:16.700]  So like measure between the ground of the power of the
[56:16.700 --> 56:20.180]  macrocom and the A minus terminal screw.
[56:21.860 --> 56:22.900]  While it's connected.
[56:25.140 --> 56:28.660]  Yeah. It's jumping around a little bit,
[56:28.780 --> 56:32.680]  but I'm seeing... Yeah, sorry, are you seeing what?
[56:35.240 --> 56:36.720]  It's jumping around a little bit,
[56:36.720 --> 56:39.100]  but I'm seeing about 5 total here.
[56:40.780 --> 56:42.940]  So now just connect the MSCP
[56:42.940 --> 56:45.100]  and then measure the pin.
[56:46.680 --> 56:49.460]  So the pin right on the... Yeah, still about the same.
[56:51.380 --> 56:55.160]  Is end of line currently in? If it is, take it out and then measure the voltage.
[57:03.970 --> 57:07.190]  As I'm sitting here reading this thing,
[57:08.870 --> 57:11.570]  both of them have gone to...
[57:11.570 --> 57:15.270]  They went to zero for a second and then came back.
[57:19.010 --> 57:20.670]  Like as you switched it type thing?
[57:26.640 --> 57:29.980]  I'm sitting here reading the voltage on just the pins with the MSCP
[57:31.000 --> 57:31.960]  terminal off.
[57:35.280 --> 57:37.920]  Reading from controller ground.
[57:40.910 --> 57:41.830]  Oh, this guy.
[57:43.690 --> 57:47.710]  Yeah, 2.3 on the A minus and then
[57:47.710 --> 57:50.830]  2.8-ish on the B plus.
[57:51.270 --> 57:53.510]  Periodically these things seem like they go to zero.
[57:54.890 --> 58:00.700]  That's weird. We can wait for it, I guess.
[58:03.260 --> 58:04.520]  I usually find that when it goes to zero.
[58:04.520 --> 58:07.960]  I'm not sure. And this is with the end of line on.
[58:09.820 --> 58:12.560]  Yeah. And did you do a test with it off?
[58:21.380 --> 58:23.000]  I should say, could you do a test with it off?
[58:26.850 --> 58:27.870]  Sorry, what?
[58:28.530 --> 58:31.190]  Could you do a test with the end of line off?
[58:47.230 --> 58:49.770]  Yeah, okay. So with the end of line on or off
[58:49.770 --> 58:52.670]  it does seem to sum to about 5 volts.
[58:54.670 --> 58:55.130]  Okay.
[58:56.730 --> 59:00.390]  Well, it's reading just fine as far as the electrical side is concerned.
[59:00.390 --> 59:02.450]  It doesn't seem to be a problem at all.
[59:03.350 --> 59:10.350]  Still got me stumped.
[59:12.450 --> 59:13.850]  Still could be something with the transmitter.
[59:14.010 --> 59:17.410]  I just don't know what it would be. This would be the first time I've run into an issue where
[59:17.410 --> 59:21.710]  there's no issue with the voltage on the MSTP
[59:21.710 --> 59:23.570]  but there is an issue communicating.
[59:28.750 --> 59:29.290]  So.
[59:30.750 --> 59:31.430]  Because it could?
[59:31.430 --> 59:35.390]  It would be power? I don't know. Were there any other changes
[59:35.390 --> 59:38.830]  things added aside from the flex errors that could affect
[59:38.830 --> 59:42.170]  the electrical network, like for example a VFD?
[59:44.690 --> 59:46.890]  Not that I'm aware of.
[59:48.670 --> 59:51.630]  The reason I'm asking is because there have been times where
[59:51.630 --> 59:55.610]  someone goes to add one thing and they were not the only ones adding something.
[59:57.330 --> 59:58.370]  And they found it after.
[59:59.250 --> 01:00:01.570]  And it affected them, right?
[01:00:04.230 --> 01:00:06.970]  Still seems way too much.
[01:00:07.750 --> 01:00:09.110]  Does any other work happening?
[01:00:13.640 --> 01:00:17.800]  I know they were having issues with the condensers
[01:00:17.800 --> 01:00:21.980]  or the compressors in the room, but it's not an I.O. to the
[01:00:21.980 --> 01:00:26.080]  ProCom and the ProZones that are controlling those compressors for the big AC units
[01:00:26.080 --> 01:00:27.760]  are running just fine.
[01:00:30.800 --> 01:00:33.500]  So where are those compressors
[01:00:33.500 --> 01:00:37.500]  electrically? So are they under the same breaker?
[01:00:37.780 --> 01:00:40.700]  Or are they using the same ground? Do you see what I'm talking about?
[01:00:43.950 --> 01:00:46.490]  Yes. I'm not sure if they're using the same ground.
[01:00:47.650 --> 01:00:51.410]  I don't believe they're using the same ground. And they're certainly
[01:00:51.410 --> 01:00:52.890]  separate breakers.
[01:00:55.890 --> 01:00:58.290]  Is it possible it could be affecting
[01:00:59.210 --> 01:01:02.270]  the ground reference for the mock ProCom?
[01:01:05.630 --> 01:01:07.350]  The only way I guess you could
[01:01:08.730 --> 01:01:11.550]  eliminate the power is by
[01:01:11.550 --> 01:01:15.210]  using something like a DC power supply. So if
[01:01:15.210 --> 01:01:19.410]  your project manager is getting someone to send something over, maybe you also get a
[01:01:19.410 --> 01:01:23.650]  DC power supply. That's another thing you can try to eliminate
[01:01:23.650 --> 01:01:24.430]  as a possibility.
[01:01:27.150 --> 01:01:31.550]  Gotcha. Damn, I had one of those at one point that I donated to a project.
[01:01:33.810 --> 01:01:35.590]  If I'm back on site, I'll give that a shot.
[01:01:36.310 --> 01:01:37.710]  Yeah. Alright.
[01:01:39.870 --> 01:01:40.970]  So I can say it's good luck.
[01:01:43.930 --> 01:01:46.490]  Yeah, thank you. If you can create a ticket, do you know my email?
[01:01:47.170 --> 01:01:49.330]  Yep, I got it here.
[01:01:51.150 --> 01:01:53.690]  Yeah, T.W. Moon Adventure Controls. Yep.
[01:01:56.860 --> 01:02:00.080]  And yeah, if you could create a ticket, I don't know.
[01:02:00.900 --> 01:02:03.880]  I appreciate your time a lot. Thank you. Yep, you're welcome.
[01:02:06.300 --> 01:02:07.560]  Alright, well, have a nice day, man.
[01:02:08.360 --> 01:02:09.480]  Yep, you too. Bye.
